Model,MDO3052
Firmware Version,1.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.01
Horizontal Delay,0.03
Sample Interval,1e-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.01
Vertical Position,-2.7
,
,
,
Label,
TIME,CH1
-1.474000e-02,-0.00464219
-1.473000e-02,-0.00477188
-1.472000e-02,-0.00466719
-1.471000e-02,-0.00485
-1.470000e-02,-0.00465156
-1.469000e-02,-0.004675
-1.468000e-02,-0.00464375
-1.467000e-02,-0.00451406
-1.466000e-02,-0.00454844
-1.465000e-02,-0.00484688
-1.464000e-02,-0.00471094
-1.463000e-02,-0.00472188
-1.462000e-02,-0.00464062
-1.461000e-02,-0.00475156
-1.460000e-02,-0.00471563
-1.459000e-02,-0.00474531
-1.458000e-02,-0.00470469
-1.457000e-02,-0.00468594
-1.456000e-02,-0.00464531
-1.455000e-02,-0.00470312
-1.454000e-02,-0.0046
-1.453000e-02,-0.00456406
-1.452000e-02,-0.00464375
-1.451000e-02,-0.00461719
-1.450000e-02,-0.00450937
-1.449000e-02,-0.00465625
-1.448000e-02,-0.00455313
-1.447000e-02,-0.00486406
-1.446000e-02,-0.00464844
-1.445000e-02,-0.00476719
-1.444000e-02,-0.0046375
-1.443000e-02,-0.004475
-1.442000e-02,-0.00468594
-1.441000e-02,-0.00470469
-1.440000e-02,-0.00473438
-1.439000e-02,-0.00477656
-1.438000e-02,-0.0046625
-1.437000e-02,-0.00444844
-1.436000e-02,-0.00473281
-1.435000e-02,-0.00464375
-1.434000e-02,-0.00467813
-1.433000e-02,-0.00467813
-1.432000e-02,-0.00475469
-1.431000e-02,-0.00466719
-1.430000e-02,-0.00461406
-1.429000e-02,-0.00463437
-1.428000e-02,-0.00453281
-1.427000e-02,-0.0049125
-1.426000e-02,-0.00464844
-1.425000e-02,-0.00463437
-1.424000e-02,-0.00480938
-1.423000e-02,-0.00466094
-1.422000e-02,-0.00478906
-1.421000e-02,-0.00469063
-1.420000e-02,-0.00480781
-1.419000e-02,-0.00478594
-1.418000e-02,-0.00457344
-1.417000e-02,-0.00481094
-1.416000e-02,-0.00470312
-1.415000e-02,-0.00469375
-1.414000e-02,-0.00459063
-1.413000e-02,-0.00460625
-1.412000e-02,-0.00480313
-1.411000e-02,-0.00465781
-1.410000e-02,-0.0045875
-1.409000e-02,-0.00475469
-1.408000e-02,-0.00476094
-1.407000e-02,-0.00471719
-1.406000e-02,-0.00470625
-1.405000e-02,-0.00460469
-1.404000e-02,-0.00463437
-1.403000e-02,-0.00462031
-1.402000e-02,-0.00470312
-1.401000e-02,-0.00477031
-1.400000e-02,-0.00471094
-1.399000e-02,-0.00459063
-1.398000e-02,-0.00473594
-1.397000e-02,-0.00464844
-1.396000e-02,-0.00484375
-1.395000e-02,-0.00472969
-1.394000e-02,-0.00461406
-1.393000e-02,-0.00469531
-1.392000e-02,-0.004675
-1.391000e-02,-0.00480469
-1.390000e-02,-0.00455313
-1.389000e-02,-0.00479063
-1.388000e-02,-0.00473438
-1.387000e-02,-0.00471563
-1.386000e-02,-0.00468594
-1.385000e-02,-0.00461875
-1.384000e-02,-0.00475
-1.383000e-02,-0.00482187
-1.382000e-02,-0.00459375
-1.381000e-02,-0.00479531
-1.380000e-02,-0.0048375
-1.379000e-02,-0.00485469
-1.378000e-02,-0.00447656
-1.377000e-02,-0.0045
-1.376000e-02,-0.00471875
-1.375000e-02,-0.00461563
-1.374000e-02,-0.00463125
-1.373000e-02,-0.00461094
-1.372000e-02,-0.004675
-1.371000e-02,-0.00459688
-1.370000e-02,-0.00468906
-1.369000e-02,-0.00455625
-1.368000e-02,-0.004575
-1.367000e-02,-0.00460313
-1.366000e-02,-0.00457187
-1.365000e-02,-0.00470312
-1.364000e-02,-0.00459688
-1.363000e-02,-0.00467969
-1.362000e-02,-0.00475156
-1.361000e-02,-0.0048
-1.360000e-02,-0.00454375
-1.359000e-02,-0.00470156
-1.358000e-02,-0.00472969
-1.357000e-02,-0.00467031
-1.356000e-02,-0.00469687
-1.355000e-02,-0.00465156
-1.354000e-02,-0.00479063
-1.353000e-02,-0.00462188
-1.352000e-02,-0.00465625
-1.351000e-02,-0.00462656
-1.350000e-02,-0.00472656
-1.349000e-02,-0.0046875
-1.348000e-02,-0.00467813
-1.347000e-02,-0.00465469
-1.346000e-02,-0.00468125
-1.345000e-02,-0.00465313
-1.344000e-02,-0.00455
-1.343000e-02,-0.0045125
-1.342000e-02,-0.00462656
-1.341000e-02,-0.00479375
-1.340000e-02,-0.00465625
-1.339000e-02,-0.00473906
-1.338000e-02,-0.00450469
-1.337000e-02,-0.004575
-1.336000e-02,-0.00461094
-1.335000e-02,-0.00467969
-1.334000e-02,-0.00492656
-1.333000e-02,-0.00458281
-1.332000e-02,-0.00474688
-1.331000e-02,-0.00462031
-1.330000e-02,-0.00472813
-1.329000e-02,-0.004575
-1.328000e-02,-0.00468438
-1.327000e-02,-0.00472813
-1.326000e-02,-0.00455469
-1.325000e-02,-0.00461875
-1.324000e-02,-0.00461875
-1.323000e-02,-0.00464844
-1.322000e-02,-0.00459219
-1.321000e-02,-0.00472969
-1.320000e-02,-0.00475625
-1.319000e-02,-0.00469687
-1.318000e-02,-0.00461094
-1.317000e-02,-0.0045125
-1.316000e-02,-0.0046125
-1.315000e-02,-0.00478281
-1.314000e-02,-0.00469375
-1.313000e-02,-0.00475156
-1.312000e-02,-0.00462031
-1.311000e-02,-0.00462031
-1.310000e-02,-0.00471875
-1.309000e-02,-0.00479063
-1.308000e-02,-0.00474063
-1.307000e-02,-0.00484531
-1.306000e-02,-0.00478594
-1.305000e-02,-0.00470312
-1.304000e-02,-0.00469531
-1.303000e-02,-0.00471406
-1.302000e-02,-0.00472344
-1.301000e-02,-0.0046125
-1.300000e-02,-0.00482344
-1.299000e-02,-0.00471875
-1.298000e-02,-0.00456719
-1.297000e-02,-0.00470312
-1.296000e-02,-0.00465156
-1.295000e-02,-0.00473281
-1.294000e-02,-0.0048125
-1.293000e-02,-0.0046125
-1.292000e-02,-0.00458906
-1.291000e-02,-0.00469687
-1.290000e-02,-0.00465156
-1.289000e-02,-0.00474375
