NaCl,,Be Pd,,,Cd Ga2 Se4,,
2θ - °,Intensity - cps,2θ - °,Y,Intensity - cps,2θ - °,Y,Intensity - cps
15.18,6973.3,,,,,,
15.19,7120,,,,,,
15.2,7426.7,,,,,,
15.21,6933.3,,,,,,
15.22,6760,,,,,,
15.23,6600,,,,,,
15.24,6706.7,,,,,,
15.25,6893.3,,,,,,
15.26,7026.7,,,,,,
15.27,6853.3,,,,,,
15.28,6760,,,,,,
15.29,7280,,,,,,
15.3,7346.7,,,,,,
15.31,7053.3,,,,,,
15.32,7053.3,,,,,,
15.33,7000,,,,,,
15.34,6973.3,,,,,,
15.35,6760,,,,,,
15.36,7280,,,,,,
15.37,7120,,,,,,
15.38,6973.3,,,,,,
15.39,7120,,,,,,
15.4,6906.7,,,,,,
15.41,7120,,,,,,
15.42,7200,,,,,,
15.43,6933.3,,,,,,
15.44,7120,,,,,,
15.45,7066.7,,,,,,
15.46,7040,,,,,,
15.47,7133.3,,,,,,
15.48,7200,,,,,,
15.49,7133.3,,,,,,
15.5,6960,,,,,,
15.51,7186.7,,,,,,
15.52,7373.3,,,,,,
15.53,7120,,,,,,
15.54,7000,,,,,,
15.55,7213.3,,,,,,
15.56,7293.3,,,,,,
15.57,6893.3,,,,,,
15.58,6680,,,,,,
15.59,6826.7,,,,,,
15.6,7226.7,,,,,,
15.61,7013.3,,,,,,
15.62,6920,,,,,,
15.63,7240,,,,,,
15.64,7253.3,,,,,,
15.65,7093.3,,,,,,
15.66,7066.7,,,,,,
15.67,6933.3,,,,,,
15.68,7320,,,,,,
15.69,7213.3,,,,,,
15.7,6746.7,,,,,,
15.71,6960,,,,,,
15.72,7373.3,,,,,,
15.73,7160,,,,,,
15.74,7013.3,,,,,,
15.75,6946.7,,,,,,
15.76,6786.7,,,,,,
15.77,7106.7,,,,,,
15.78,7173.3,,,,,,
15.79,6946.7,,,,,,
15.8,7040,,,,,,
15.81,7053.3,,,,,,
15.82,7133.3,,,,,,
15.83,6400,,,,,,
15.84,6373.3,,,,,,
15.85,7053.3,,,,,,
15.86,7253.3,,,,,,
15.87,6573.3,,,,,,
15.88,6586.7,,,,,,
15.89,7240,,,,,,
15.9,7053.3,,,,,,
15.91,6653.3,,,,,,
15.92,6893.3,,,,,,
15.93,6933.3,,,,,,
15.94,6813.3,,,,,,
15.95,7280,,,,,,
15.96,7306.7,,,,,,
15.97,6840,,,,,,
15.98,6866.7,,,,,,
15.99,7013.3,,,,,,
16,7266.7,,,,,,
16.01,7013.3,,,,,,
16.02,6853.3,,,,,,
16.03,7053.3,,,,,,
16.04,6933.3,,,,,,
16.05,7186.7,,,,,,
16.06,6693.3,,,,,,
16.07,7013.3,,,,,,
16.08,7333.3,,,,,,
16.09,7026.7,,,,,,
16.1,7240,,,,,,
16.11,7080,,,,,,
16.12,6546.7,,,,,,
16.13,6880,,,,,,
16.14,6986.7,,,,,,
16.15,7253.3,,,,,,
16.16,7013.3,,,,,,
16.17,6853.3,,,,,,
